area_type,availability,location,size,bhk,total_sqft,bath,balcony,price,
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,2,"1,056.00",2,1,39.07,
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,4,"2,600.00",5,3,120,
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,"1,440.00",2,3,62,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,"1,521.00",3,1,95,
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,"1,200.00",2,1,51,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,170.00",2,1,38,
Super built-up  Area,18-May,Old Airport Road,4 BHK,4,"2,732.00",4,0,204,
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,4,"3,300.00",4,0,600,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,310.00",3,1,63.25,
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,6,"1,020.00",6,0,370,
Super built-up  Area,18-Feb,Whitefield,3 BHK,3,"1,800.00",2,2,70,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"2,785.00",5,3,295,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,000.00",2,1,38,
Built-up  Area,Ready To Move,Gottigere,2 BHK,2,"1,100.00",2,2,40,
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3,"2,250.00",3,2,148,
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2,"1,175.00",2,2,73.5,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,"1,180.00",3,2,48,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,"1,540.00",3,3,60,
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,3,"2,770.00",4,2,290,
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,2,"1,100.00",2,2,48,
Built-up  Area,Ready To Move,Kengeri,1 BHK,1,600.00,1,1,15,
Super built-up  Area,19-Dec,Binny Pete,3 BHK,3,"1,755.00",3,1,122,
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,4,"2,800.00",5,2,380,
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,"1,767.00",3,1,103,
Super built-up  Area,18-Nov,Thanisandra,1 RK,1,510.00,1,0,25.25,
Super built-up  Area,18-May,Mangammanapalya,3 BHK,3,"1,250.00",3,2,56,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,660.00,1,1,23.1,
Built-up  Area,20-Dec,Whitefield,3 BHK,3,"1,610.00",3,2,81,
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,2,"1,151.00",2,2,48.77,
